# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.cachedValueWithParameters.from.cache.count,1775859459487000000,1775859519526000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1775859459487000000,1775859519526000000,2
workspaceModel.update.unloaded.entities.ms,1775859459487000000,1775859519526000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1775859459487000000,1775859519526000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1775859459487000000,1775859519526000000,24
workspaceModel.updates.ms,1775859459487000000,1775859519526000000,136
workspaceModel.updates.count,1775859459487000000,1775859519526000000,5
workspaceModel.replace.project.model.ms,1775859459487000000,1775859519526000000,0
workspaceModel.workspaceFileIndexData.instances.count,1775859459487000000,1775859519526000000,1
workspaceModel.updates.precise.ms,1775859459487000000,1775859519526000000,22
workspaceModel.loading.from.cache.ms,1775859459487000000,1775859519526000000,188
workspaceModel.cachedValue.calculated.count,1775859459487000000,1775859519526000000,14
workspaceModel.cachedValueWithParameters.clear.count,1775859459487000000,1775859519526000000,0
workspaceModel.init.bridges.ms,1775859459487000000,1775859519526000000,2
workspaceModel.initializing.ms,1775859459487000000,1775859519526000000,2
workspaceModel.cachedValue.from.cache.count,1775859459487000000,1775859519526000000,48
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1775859459487000000,1775859519526000000,116
workspaceModel.workspaceFileIndexData.init.ms,1775859459487000000,1775859519526000000,61
workspaceModel.on.before.changed.ms,1775859459487000000,1775859519526000000,31
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1775859459487000000,1775859519526000000,7
workspaceModel.loading.total.ms,1775859459487000000,1775859519526000000,201
workspaceModel.check.recursive.update.ms,1775859459487000000,1775859519526000000,1
workspaceModel.cachedValueWithParameters.calculated.count,1775859459487000000,1775859519526000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1775859459487000000,1775859519526000000,1
workspaceModel.workspaceFileIndexData.markDirty.ms,1775859459487000000,1775859519526000000,0
workspaceModel.to.snapshot.ms,1775859459487000000,1775859519526000000,2
workspaceModel.cachedValue.total.get.count,1775859459487000000,1775859519526000000,62
workspaceModel.collect.changes.ms,1775859459487000000,1775859519526000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1775859459487000000,1775859519526000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1775859459487000000,1775859519526000000,969
workspaceModel.cachedValue.clear.count,1775859459487000000,1775859519526000000,0
workspaceModel.on.changed.ms,1775859459487000000,1775859519526000000,74
workspaceModel.full.replace.project.model.ms,1775859459487000000,1775859519526000000,4
workspaceModel.pre.handlers.ms,1775859459487000000,1775859519526000000,2
workspaceModel.workspaceFileIndexData.processFileSets.ms,1775859459487000000,1775859519526000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1775859459487000000,1775859519526000000,3
ReadAction.executionsCount,1775859459487000000,1775859519526000000,152153
AWTEventQueue.dispatchTimeAvgNs,1775859459487000000,1775859519526000000,0.0
FlushQueue.queueSize90P,1775859459487000000,1775859519526000000,0
FlushQueue.queueSizeAvg,1775859459487000000,1775859519526000000,0.0
FlushQueue.executionTimeAvgNs,1775859459487000000,1775859519526000000,0.0
FlushQueue.waitingTimeAvgNs,1775859459487000000,1775859519526000000,0.0
NonBlockingReadAction.finalizedExecutionTimeUs,1775859459487000000,1775859519526000000,243933
FlushQueue.tasksExecuted,1775859459487000000,1775859519526000000,0
AWTEventQueue.dispatchTimeMaxNs,1775859459487000000,1775859519526000000,0
AWTEventQueue.eventsDispatched,1775859459487000000,1775859519526000000,0
FlushQueue.waitingTimeMaxNs,1775859459487000000,1775859519526000000,0
FlushQueue.waitingTime90PNs,1775859459487000000,1775859519526000000,0
NonBlockingReadAction.failedExecutionsCount,1775859459487000000,1775859519526000000,0
AWTEventQueue.dispatchTime90PNs,1775859459487000000,1775859519526000000,0
FlushQueue.executionTime90PNs,1775859459487000000,1775859519526000000,0
NonBlockingReadAction.finalizedExecutionsCount,1775859459487000000,1775859519526000000,3
FlushQueue.executionTimeMaxNs,1775859459487000000,1775859519526000000,0
NonBlockingReadAction.failedExecutionTimeUs,1775859459487000000,1775859519526000000,0
AWTEventQueue.dispatchTimeTotalNS,1775859459487000000,1775859519526000000,11892130926
FlushQueue.queueSizeMax,1775859459487000000,1775859519526000000,0
WriteAction.executionsCount,1775859459487000000,1775859519526000000,17
FilePageCache.totalPageLoadsUs,1775859459487000000,1775859519526000000,1849687
