# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.invertedFileNameIndex.requests,1775847164008000000,1775847179206000000,0
VFS.fileByIdCache.hits,1775847164008000000,1775847179206000000,0
VFS.fileChildByName,1775847164008000000,1775847179206000000,156
VFS.fileByIdCache.misses,1775847164008000000,1775847179206000000,0
VFS.folderCaseSensitivityReads,1775847164008000000,1775847179206000000,13
cacheStateStorage.set.counter,1775847164008000000,1775847179206000000,1
cacheStateStorage.get.counter,1775847164008000000,1775847179206000000,4
cacheStateStorage.set.duration,1775847164008000000,1775847179206000000,21
cacheStateStorage.get.duration,1775847164008000000,1775847179206000000,36
writeAction.max.wait.ms,1775847164008000000,1775847179206000000,1
writeAction.median.wait.ms,1775847164008000000,1775847179206000000,0
DiskQueryRelay.tasksRequested,1775847164008000000,1775847179206000000,51
DiskQueryRelay.tasksExecuted,1775847164008000000,1775847179206000000,51
DiskQueryRelay.taskWaitingTotalTimeUs,1775847164008000000,1775847179206000000,51638
writeAction.wait.ms,1775847164008000000,1775847179206000000,1
writeAction.count,1775847164008000000,1775847179206000000,1
DiskQueryRelay.taskExecutionTotalTimeUs,1775847164008000000,1775847179206000000,17335
FlushQueue.queueSize90P,1775847164008000000,1775847179206000000,17
FlushQueue.waitingTimeAvgNs,1775847164008000000,1775847179206000000,7.82529260103627E7
FlushQueue.queueSizeAvg,1775847164008000000,1775847179206000000,5.849740932642487
FlushQueue.waitingTime90PNs,1775847164008000000,1775847179206000000,289406975
ReadAction.executionsCount,1775847164008000000,1775847179206000000,230
AWTEventQueue.dispatchTime90PNs,1775847164008000000,1775847179206000000,528383
FlushQueue.tasksExecuted,1775847164008000000,1775847179206000000,193
FlushQueue.executionTimeMaxNs,1775847164008000000,1775847179206000000,1006632959
FlushQueue.executionTimeAvgNs,1775847164008000000,1775847179206000000,7091581.18134715
AWTEventQueue.eventsDispatched,1775847164008000000,1775847179206000000,2521
FlushQueue.executionTime90PNs,1775847164008000000,1775847179206000000,2490367
AWTEventQueue.dispatchTimeTotalNS,1775847164008000000,1775847179206000000,2780519742
AWTEventQueue.dispatchTimeMaxNs,1775847164008000000,1775847179206000000,1006632959
FlushQueue.waitingTimeMaxNs,1775847164008000000,1775847179206000000,952107007
FlushQueue.queueSizeMax,1775847164008000000,1775847179206000000,25
WriteAction.executionsCount,1775847164008000000,1775847179206000000,1
AWTEventQueue.dispatchTimeAvgNs,1775847164008000000,1775847179206000000,1102915.9349464497
StorageLockContext.competingThreads.90P,1775847164008000000,1775847179206000000,20
FileChannelInterruptsRetryer.totalRetriedAttempts,1775847164008000000,1775847179206000000,0
StorageLockContext.competingThreads.avg,1775847164008000000,1775847179206000000,3.586206896551724
FilePageCache.pageLoads,1775847164008000000,1775847179206000000,224
FilePageCache.pageFastCacheHits,1775847164008000000,1775847179206000000,4405
FilePageCache.uncachedFileAccess,1775847164008000000,1775847179206000000,124
FilePageCache.maxRegisteredFiles,1775847164008000000,1775847179206000000,614
FilePageCache.totalPageDisposalsUs,1775847164008000000,1775847179206000000,7172
MappedFileStorage.totalBytesMapped,1775847164008000000,1775847179206000000,0
DirectByteBufferAllocator.misses,1775847164008000000,1775847179206000000,221
MappedFileStorage.totalTimeSpentOnMappingUs,1775847164008000000,1775847179206000000,21873
FilePageCache.capacityInBytes,1775847164008000000,1775847179206000000,629145600
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1775847164008000000,1775847179206000000,41959424
StorageLockContext.competingThreads.max,1775847164008000000,1775847179206000000,21
DirectByteBufferAllocator.reclaimed,1775847164008000000,1775847179206000000,45
MappedFileStorage.totalPagesMapped,1775847164008000000,1775847179206000000,0
FilePageCache.pageHits,1775847164008000000,1775847179206000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1775847164008000000,1775847179206000000,41959424
MappedFileStorage.storages,1775847164008000000,1775847179206000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1775847164008000000,1775847179206000000,0
FilePageCache.maxCacheSizeInBytes,1775847164008000000,1775847179206000000,229654528
DirectByteBufferAllocator.disposed,1775847164008000000,1775847179206000000,179
FilePageCache.totalPageLoadsUs,1775847164008000000,1775847179206000000,3768739
DirectByteBufferAllocator.hits,1775847164008000000,1775847179206000000,3
FilePageCache.disposedBuffers,1775847164008000000,1775847179206000000,224
workspaceModel.entityStorageSnapshotImpl.instances.count,1775847164008000000,1775847179206000000,2
Indexing.writer_1.totalTimeSpentWritingMs,1775847164008000000,1775847179206000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1775847164008000000,1775847179206000000,0
Indexing.writesQueuedAvg,1775847164008000000,1775847179206000000,0.0
Indexing.writer_5.totalTimeSpentWritingMs,1775847164008000000,1775847179206000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1775847164008000000,1775847179206000000,0
Indexing.totalTimeIndexersSleptMs,1775847164008000000,1775847179206000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1775847164008000000,1775847179206000000,0
Indexing.cache.totalCacheAccesses,1775847164008000000,1775847179206000000,0
Indexing.writesQueuedMin,1775847164008000000,1775847179206000000,0
Indexing.cache.totalCacheEvicted,1775847164008000000,1775847179206000000,0
Indexing.writer_4.totalTimeSpentWritingMs,1775847164008000000,1775847179206000000,0
Indexing.writesQueuedMax,1775847164008000000,1775847179206000000,0
Indexing.cache.totalCacheMisses,1775847164008000000,1775847179206000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1775847164008000000,1775847179206000000,0
jps.global.initialize.library.bridges.after.loading.ms,1775847164008000000,1775847179206000000,3
jps.global.get.library.by.name.ms,1775847164008000000,1775847179206000000,0
jps.global.get.library.ms,1775847164008000000,1775847179206000000,0
